Pid	            ArrivalTime		BurstTime		Affinity     
1				0				10				0				
2				0				15				0
3				4				7				-1
4				7				9				4
5				8				12				-1
6				10				1				5
7				11				1				5
8				14				4				9
9				14				6				3
10				20				20				1
11				20				20				1
12				20				28				1
13				20				40				1
14				21				12				7
15				22				2				7
16				25				12				4
17				30				70				-1
18				33				9				-1
19				21				7				0
20				12				12				9
21              35              21              7
22              23              100             4
23              43              4               1
24              40              10              0
25              13              9               6
26				1				3				-1
27				41				12				1
28				50				20				4
29				21				10				5
30				60				1				-1
